ad_id,ad_name,campaign_id,campaign_name,adset_id,effective_status,delivery,creative_id,created,updated,cur_spend_CAD,cur_impr,cur_reach,cur_freq,cur_cpm,cur_ctr_pct,cur_cpc,cur_link_clicks,cur_link_ctr_pct,cur_cost_per_lc,cur_leads,cur_CPL,click_to_lead_pct,leads_per_1k_impr,post_engagement,reactions,comments,saves,video_plays,3s_plays,thruplays,p25,p50,p75,p100,avg_watch_s,hook_rate_pct,hold_rate_pct,video_completion_pct,prev_spend_CAD,prev_leads,prev_CPL,prev_ctr_pct
120244131211150472,Water Softener | $29.99/mo,120244130929850472,All In One | PPC Guru,120244131211160472,ACTIVE,active,1720354539379332,8 May 2026,14 July 2026,7077.55,414203.0,212184.0,1.95,17.09,1.0,1.71,2708.0,0.65,2.61,278.0,25.46,10.27,0.67,75302.0,647.0,11.0,110.0,402973.0,71607.0,15493.0,25082.0,13699.0,7700.0,3074.0,3.0,17.29,21.64,4.29,7168.75,359.0,19.97,1.01
120247075867910472,AC Static V1 | Summer Countdown,120247075867960472,EC | HVAC + Water Heater | CBO | PPC Guru - New,120247075867840472,ACTIVE,active,1307097910992410,3 June 2026,29 June 2026,1830.85,23097.0,10075.0,2.29,79.27,1.7,4.67,240.0,1.04,7.63,37.0,49.48,15.42,1.6,267.0,22.0,1.0,1.0,,,,,,,,,,,,488.02,5.0,97.6,1.33
120250240167790472,Tankless Static V1 | Direct Challenge,120250240167520472,PPC Guru - Tankless,120250240167770472,ACTIVE,active,1543694484157180,29 June 2026,29 June 2026,1507.2,34385.0,18408.0,1.87,43.83,1.68,2.6,365.0,1.06,4.13,65.0,23.19,17.81,1.89,411.0,26.0,4.0,6.0,,,,,,,,,,,,,,,
120248510209200472,FIFA - V1,120247075867960472,EC | HVAC + Water Heater | CBO | PPC Guru - New,120247075867790472,ACTIVE,active,1919899255375033,15 June 2026,27 June 2026,1138.24,18784.0,10439.0,1.8,60.6,4.02,1.51,505.0,2.69,2.25,45.0,25.29,8.91,2.4,5777.0,165.0,6.0,8.0,18043.0,5074.0,1846.0,5627.0,3434.0,2519.0,1848.0,3.0,27.01,36.38,36.42,1097.15,57.0,19.25,3.32
120248510748340472,FIFA - V3,120247075867960472,EC | HVAC + Water Heater | CBO | PPC Guru - New,120247075867790472,ACTIVE,active,1926157281518261,15 June 2026,27 June 2026,1016.21,7516.0,3982.0,1.89,135.21,2.95,4.58,100.0,1.33,10.16,31.0,32.78,31.0,4.12,1660.0,15.0,,2.0,7108.0,1542.0,568.0,1787.0,1048.0,762.0,560.0,3.0,20.52,36.84,36.32,204.0,4.0,51.0,1.51
120247075867810472,Bundles | BROAD | tCPA_$30,120247075867960472,EC | HVAC + Water Heater | CBO | PPC Guru - New,120247075867830472,ACTIVE,active,1562516751931701,2 June 2026,29 June 2026,802.3,6968.0,4092.0,1.7,115.14,2.78,4.14,123.0,1.77,6.52,20.0,40.12,16.26,2.87,2156.0,28.0,1.0,5.0,6639.0,1998.0,345.0,769.0,370.0,225.0,129.0,4.0,28.67,17.27,6.46,550.79,8.0,68.85,1.8
120247075867880472,AC Reel V1 | Sleep Comfort,120247075867960472,EC | HVAC + Water Heater | CBO | PPC Guru - New,120247075867840472,ACTIVE,active,1746832113346052,3 June 2026,29 June 2026,726.71,18169.0,11712.0,1.55,40.0,1.71,2.34,178.0,0.98,4.08,27.0,26.92,15.17,1.49,3939.0,54.0,4.0,6.0,17512.0,3690.0,763.0,1699.0,830.0,490.0,272.0,3.0,20.31,20.68,7.37,209.11,4.0,52.28,1.17
120245407915020472,EV Charger V4,120245407914840472,EC | EV Charger  | PPC Guru,120245407914920472,CAMPAIGN_PAUSED,inactive,1015999087463947,20 May 2026,11 June 2026,705.86,20567.0,7054.0,2.92,34.32,1.44,2.38,197.0,0.96,3.58,39.0,18.1,19.8,1.9,212.0,9.0,,,40.0,4.0,,,,,,1.0,0.02,,,662.97,31.0,21.39,1.34
120247160823640472,AC Static V1 | Summer Countdown - WA,120247073146890472,PPC Guru - Whatsapp,120247160823650472,CAMPAIGN_PAUSED,inactive,1912882002702402,3 June 2026,30 June 2026,537.01,25696.0,10551.0,2.44,20.9,0.92,2.27,177.0,0.69,3.03,2.0,268.51,1.13,0.08,186.0,5.0,,3.0,,,,,,,,,,,,647.06,7.0,92.44,0.8
120247073146900472,Water Softener | $29.99/mo - WA,120247073146890472,PPC Guru - Whatsapp,120247073146880472,CAMPAIGN_PAUSED,inactive,1012746095028276,2 June 2026,30 June 2026,483.79,30935.0,14224.0,2.17,15.64,1.09,1.44,92.0,0.3,5.26,1.0,483.79,1.09,0.03,3437.0,45.0,7.0,10.0,18420.0,3266.0,752.0,1181.0,588.0,361.0,150.0,3.0,10.56,23.03,4.59,733.37,3.0,244.46,0.71
