adset_id,adset_name,campaign_id,campaign_name,optimization_goal,attribution,bid_strategy,delivery_sub_status,effective_status,delivery,daily_budget_CAD,created,updated,cur_spend_CAD,cur_impr,cur_reach,cur_freq,cur_cpm,cur_ctr_pct,cur_cpc,cur_link_clicks,cur_link_ctr_pct,cur_leads,cur_CPL,prev_spend_CAD,prev_freq,prev_cpm,prev_ctr_pct,prev_leads,prev_CPL
120244131211160472,Water Treatment,120244130929850472,All In One | PPC Guru,LEAD_GENERATION,1d_view_7d_click,Not available,Not available,ACTIVE,active,,8 May 2026,20 July 2026,7077.55,414203.0,212184.0,1.95,17.09,1.0,1.71,2708.0,0.65,278.0,25.46,7168.75,2.18,13.4,1.01,359.0,19.97
120247075867840472,HVAC (AC + Heat Pump),120247075867960472,EC | HVAC + Water Heater | CBO | PPC Guru - New,QUALITY_LEAD,1d_view_7d_click,Not available,Not available,ACTIVE,active,,3 June 2026,22 July 2026,2889.85,44848.0,20788.0,2.16,64.44,1.78,3.61,468.0,1.04,76.0,38.02,1659.61,1.89,54.12,1.17,22.0,75.44
120247075867790472,COMPLETE HOME COMFORT PLAN,120247075867960472,EC | HVAC + Water Heater | CBO | PPC Guru - New,QUALITY_LEAD,1d_view_7d_click,Not available,Not available,ACTIVE,active,,3 June 2026,22 July 2026,2619.79,31379.0,16052.0,1.95,83.49,3.73,2.24,715.0,2.28,89.0,29.44,1532.85,1.81,54.96,2.9,65.0,23.58
120250240167770472,Tankless | $1/day Own It - New,120250240167520472,PPC Guru - Tankless,LEAD_GENERATION,1d_view_7d_click,Not available,Not available,ACTIVE,active,,29 June 2026,20 July 2026,1507.2,34385.0,18408.0,1.87,43.83,1.68,2.6,365.0,1.06,65.0,23.19,0.0,0.0,,,,
120245407914920472,EV Charger Installation,120245407914840472,EC | EV Charger  | PPC Guru,QUALITY_LEAD,1d_view_7d_click,Not available,Not available,CAMPAIGN_PAUSED,inactive,,20 May 2026,11 June 2026,1052.02,30342.0,9376.0,3.24,34.67,1.44,2.41,290.0,0.96,51.0,20.63,1441.69,2.89,34.2,1.35,65.0,22.18
120247075867830472,Bundles | $79.00 - New,120247075867960472,EC | HVAC + Water Heater | CBO | PPC Guru - New,QUALITY_LEAD,1d_view_7d_click,Not available,Not available,ACTIVE,active,,2 June 2026,22 July 2026,802.3,6968.0,4092.0,1.7,115.14,2.78,4.14,123.0,1.77,20.0,40.12,551.03,1.43,90.3,1.8,8.0,68.88
120247160823650472,HVAC (AC + Heat Pump) - WA,120247073146890472,PPC Guru - Whatsapp,REPLIES,1d_view_7d_click,Highest volume,Not available,CAMPAIGN_PAUSED,inactive,12.0,3 June 2026,14 July 2026,637.9,28486.0,11322.0,2.52,22.39,0.92,2.43,183.0,0.64,2.0,318.95,706.34,2.46,27.94,0.84,7.0,100.91
120247073146880472,Water Treatment - WA,120247073146890472,PPC Guru - Whatsapp,REPLIES,1d_view_7d_click,Highest volume,Not available,CAMPAIGN_PAUSED,inactive,12.0,2 June 2026,14 July 2026,483.79,30935.0,14224.0,2.17,15.64,1.09,1.44,92.0,0.3,1.0,483.79,733.37,1.74,19.19,0.71,3.0,244.46
120247161551000472,Bundles | $79.00 - WA,120247073146890472,PPC Guru - Whatsapp,REPLIES,1d_view_7d_click,Highest volume,Not available,CAMPAIGN_PAUSED,inactive,12.0,3 June 2026,14 July 2026,481.5,16411.0,6760.0,2.43,29.34,1.05,2.78,77.0,0.47,7.0,68.79,715.91,2.26,36.45,0.94,1.0,715.91
120243819963770472,WH Retargeting | Tank + Tankless,120243819963760472,EC | Retargeting | PPC Guru,QUALITY_LEAD,1d_view_7d_click,Not available,Not available,ACTIVE,active,,5 May 2026,8 May 2026,106.75,2352.0,872.0,2.7,45.39,1.91,2.37,26.0,1.11,4.0,26.69,150.03,3.16,45.53,2.22,13.0,11.54
