campaign_id,campaign_name,objective,buying_type,bid_strategy,effective_status,delivery,daily_budget_CAD,created,updated,cur_spend_CAD,cur_impr,cur_reach,cur_freq,cur_cpm,cur_clicks,cur_ctr_pct,cur_cpc,cur_link_clicks,cur_link_ctr_pct,cur_cost_per_lc,cur_leads,cur_CPL,prev_spend_CAD,prev_impr,prev_freq,prev_cpm,prev_ctr_pct,prev_link_clicks,prev_leads,prev_CPL
120244130929850472,All In One | PPC Guru,OUTCOME_LEADS,AUCTION,Highest volume,ACTIVE,"{'status': 'active', 'substatuses': ['active']}",215.0,8 May 2026,22 July 2026,7077.55,414203.0,212184.0,1.95,17.09,4151.0,1.0,1.71,2708.0,0.65,2.61,278.0,25.46,7168.75,535053.0,2.18,13.4,1.01,3488.0,359.0,19.97
120247075867960472,EC | HVAC + Water Heater | CBO | PPC Guru - New,OUTCOME_LEADS,AUCTION,Highest volume,ACTIVE,"{'status': 'active', 'substatuses': ['active']}",100.0,2 June 2026,22 July 2026,6311.94,83195.0,35771.0,2.33,75.87,2164.0,2.6,2.92,1306.0,1.57,4.83,185.0,34.12,3743.49,64656.0,2.19,57.9,1.98,772.0,95.0,39.41
120247073146890472,PPC Guru - Whatsapp,OUTCOME_LEADS,AUCTION,Not available,PAUSED,"{'status': 'off', 'substatuses': ['off']}",,2 June 2026,17 July 2026,1603.19,75832.0,27339.0,2.77,21.14,772.0,1.02,2.08,352.0,0.46,4.55,10.0,160.32,2155.62,83133.0,2.45,25.93,0.81,342.0,11.0,195.97
120250240167520472,PPC Guru - Tankless,OUTCOME_LEADS,AUCTION,Highest volume,ACTIVE,"{'status': 'active', 'substatuses': ['active']}",45.0,29 June 2026,20 July 2026,1507.2,34385.0,18408.0,1.87,43.83,579.0,1.68,2.6,365.0,1.06,4.13,65.0,23.19,0.0,0.0,0.0,,,,,
120245407914840472,EC | EV Charger  | PPC Guru,OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",25.0,20 May 2026,17 July 2026,1052.02,30342.0,9376.0,3.24,34.67,437.0,1.44,2.41,290.0,0.96,3.63,51.0,20.63,1441.69,42157.0,2.89,34.2,1.35,355.0,65.0,22.18
120243819963760472,EC | Retargeting | PPC Guru,OUTCOME_LEADS,AUCTION,Highest volume,ACTIVE,"{'status': 'active', 'substatuses': ['active']}",5.0,5 May 2026,9 July 2026,205.95,4029.0,1487.0,2.71,51.12,61.0,1.51,3.38,32.0,0.79,6.44,4.0,51.49,236.19,4710.0,3.39,50.15,2.19,63.0,17.0,13.89
120251303773640472,Ottawa - Water Softner & Tankless,OUTCOME_LEADS,AUCTION,Highest volume,ACTIVE,"{'status': 'active', 'substatuses': ['active']}",50.0,20 July 2026,20 July 2026,105.04,3052.0,1852.0,1.65,34.42,29.0,0.95,3.62,17.0,0.56,6.18,3.0,35.01,0.0,0.0,0.0,,,,,
120244604888810472,EC | HVAC + Water Heater | CBO | PPC Guru,OUTCOME_LEADS,AUCTION,Cost per result goal,PAUSED,"{'status': 'off', 'substatuses': ['off']}",100.0,13 May 2026,3 June 2026,0.0,0.0,0.0,0.0,,0.0,,,,,,,,555.35,10084.0,2.04,55.07,1.71,95.0,18.0,30.85
120243816676660472,EC | Water Treatment | PPC Guru,OUTCOME_LEADS,AUCTION,Not available,PAUSED,"{'status': 'off', 'substatuses': ['off']}",,5 May 2026,8 May 2026,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120243814694840472,EC | HVAC | PPC Guru,OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",,5 May 2026,8 May 2026,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120243798244150472,EC | Water Heater | PPC Guru,OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",17.0,5 May 2026,5 May 2026,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120243727302290472,EC | Water Heater | PPC Guru,OUTCOME_LEADS,AUCTION,Not available,PAUSED,"{'status': 'off', 'substatuses': ['off']}",,5 May 2026,8 May 2026,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120243463055970472,EcoCare | EV Charger | Instant Forms | Leads | JET,OUTCOME_LEADS,AUCTION,Cost per result goal,PAUSED,"{'status': 'off', 'substatuses': ['off']}",20.0,1 May 2026,10 May 2026,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120241597504140472,EcoCare | Prospecting | PPC Guru,OUTCOME_LEADS,AUCTION,Not available,PAUSED,"{'status': 'off', 'substatuses': ['off']}",,10 April 2026,23 April 2026,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120240190078760472,EcoCare | Air Conditioner | Instant Forms | Leads | JET,OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",50.0,20 March 2026,3 May 2026,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120240189902260472,EcoCare | Furnace | Instant Forms | Leads | JET,OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",10.0,20 March 2026,27 March 2026,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120240148621770472,EcoCare | Water Heater & Purification | Instant Forms | Leads | JET,OUTCOME_LEADS,AUCTION,Cost per result goal,PAUSED,"{'status': 'off', 'substatuses': ['off']}",25.0,19 March 2026,7 May 2026,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120240107509690472,EcoCare | HVAC Repair | Website Leads | JET,OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",25.0,18 March 2026,20 March 2026,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120240107418340472,EcoCare | Air Conditioner | Website Leads | JET,OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",25.0,18 March 2026,19 March 2026,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120240107094190472,EcoCare | Water Heater & Purification | Website Leads | JET,OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",50.0,18 March 2026,19 March 2026,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120240106516100472,EcoCare | Furnace | Website Leads | JET,OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",50.0,18 March 2026,19 March 2026,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120239585382450472,EcoCare_TEST | Leads | JET,OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",25.0,5 March 2026,14 March 2026,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120239547439490472,EcoCare_TEST | Conversion Leads | JET,OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",50.0,4 March 2026,5 March 2026,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120238842863940472,EcoCare  | Intro Offer Ads | Leads | JET,OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",25.0,16 February 2026,4 March 2026,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120238757108780472,EcoCare  | Intro Offer Ads | Leads | JET | Lead-Conversions,OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",25.0,14 February 2026,16 February 2026,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
120236708171390472,EcoCare_WaterHeater | Leads | JET,OUTCOME_LEADS,AUCTION,Highest volume,PAUSED,"{'status': 'off', 'substatuses': ['off']}",125.0,23 December 2025,9 May 2026,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,,,,
