date,spend_CAD,impressions,reach,frequency,clicks,ctr_pct,cpm_CAD,cpc_CAD,link_clicks,link_ctr_pct,leads,CPL_CAD
23 May 2026,296.11,13219.0,11603.0,1.14,227.0,1.72,22.4,1.3,150.0,1.13,15.0,19.74
24 May 2026,355.94,20928.0,18856.0,1.11,308.0,1.47,17.01,1.16,196.0,0.94,24.0,14.83
25 May 2026,345.48,21424.0,19883.0,1.08,305.0,1.42,16.13,1.13,217.0,1.01,23.0,15.02
26 May 2026,325.62,20534.0,19024.0,1.08,227.0,1.11,15.86,1.43,144.0,0.7,15.0,21.71
27 May 2026,307.65,21375.0,19745.0,1.08,229.0,1.07,14.39,1.34,148.0,0.69,23.0,13.38
28 May 2026,307.49,20747.0,19826.0,1.05,204.0,0.98,14.82,1.51,120.0,0.58,15.0,20.5
29 May 2026,371.25,29523.0,25892.0,1.14,310.0,1.05,12.57,1.2,202.0,0.68,16.0,23.2
30 May 2026,332.5,23067.0,20442.0,1.13,267.0,1.16,14.41,1.25,153.0,0.66,28.0,11.88
31 May 2026,398.73,32114.0,29034.0,1.11,285.0,0.89,12.42,1.4,180.0,0.56,18.0,22.15
1 June 2026,350.99,23831.0,22401.0,1.06,202.0,0.85,14.73,1.74,127.0,0.53,16.0,21.94
2 June 2026,369.0,23724.0,21511.0,1.1,189.0,0.8,15.55,1.95,110.0,0.46,16.0,23.06
3 June 2026,448.68,30102.0,27218.0,1.11,271.0,0.9,14.91,1.66,152.0,0.5,17.0,26.39
4 June 2026,439.88,27926.0,24694.0,1.13,239.0,0.86,15.75,1.84,126.0,0.45,11.0,39.99
5 June 2026,418.47,23126.0,20671.0,1.12,213.0,0.92,18.1,1.96,132.0,0.57,13.0,32.19
6 June 2026,392.53,18886.0,16768.0,1.13,167.0,0.88,20.78,2.35,107.0,0.57,17.0,23.09
7 June 2026,525.4,28883.0,25101.0,1.15,304.0,1.05,18.19,1.73,208.0,0.72,19.0,27.65
8 June 2026,332.99,18415.0,16909.0,1.09,200.0,1.09,18.08,1.66,144.0,0.78,11.0,30.27
9 June 2026,312.99,18619.0,15789.0,1.18,202.0,1.08,16.81,1.55,132.0,0.71,18.0,17.39
10 June 2026,426.41,23610.0,20489.0,1.15,211.0,0.89,18.06,2.02,141.0,0.6,11.0,38.76
11 June 2026,327.53,14864.0,11813.0,1.26,145.0,0.98,22.04,2.26,93.0,0.63,12.0,27.29
12 June 2026,956.99,30632.0,23814.0,1.29,336.0,1.1,31.24,2.85,199.0,0.65,26.0,36.81
13 June 2026,982.71,32833.0,28882.0,1.14,334.0,1.02,29.93,2.94,195.0,0.59,23.0,42.73
14 June 2026,859.89,28737.0,23487.0,1.22,296.0,1.03,29.92,2.91,198.0,0.69,18.0,47.77
15 June 2026,816.9,30063.0,24878.0,1.21,353.0,1.17,27.17,2.31,194.0,0.65,24.0,34.04
16 June 2026,799.38,29585.0,24615.0,1.2,462.0,1.56,27.02,1.73,274.0,0.93,23.0,34.76
17 June 2026,735.21,30577.0,25571.0,1.2,442.0,1.45,24.04,1.66,267.0,0.87,28.0,26.26
18 June 2026,650.98,25378.0,21046.0,1.21,336.0,1.32,25.65,1.94,210.0,0.83,20.0,32.55
19 June 2026,738.79,26008.0,21572.0,1.21,335.0,1.29,28.41,2.21,201.0,0.77,21.0,35.18
20 June 2026,533.64,19853.0,17035.0,1.17,236.0,1.19,26.88,2.26,145.0,0.73,23.0,23.2
21 June 2026,840.96,31210.0,26992.0,1.16,373.0,1.2,26.95,2.25,250.0,0.8,21.0,40.05
